0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player,"(19,0)",,,,,,,,,,,,,,,,,,
RandomHole,"(13,5)",,,,,,,,,,,,,,,,,,
RandomHole,"(17,12)",,,,,,,,,,,,,,,,,,
RandomHole,"(1,12)",,,,,,,,,,,,,,,,,,
RandomHole,"(8,12)",,,,,,,,,,,,,,,,,,
RandomHole,"(7,2)",,,,,,,,,,,,,,,,,,
RandomHole,"(1,2)",,,,,,,,,,,,,,,,,,
RandomHole,"(13,11)",,,,,,,,,,,,,,,,,,
RightHole,"(0,7)",,,,,,,,,,,,,,,,,,
LeftHole,"(8,8)",,,,,,,,,,,,,,,,,,
Goal,"(4,1)",,,,,,,,,,,,,,,,,,
