Background,WorkSpace(old),"(0,0)",#,,
Generate,HelpRobot,お手伝いロボ,"(320, 120)",#,
Generate,Searcher0,ちび,"(180, 280)",#,
Generate,Searcher1,まる,"(100, 220)",#,
Generate,Searcher2,のっぽ,"(40, 180)",#,
Generate,Developer,ねこぜ,"(1100,80)",#,
Generate,Repair0,くるま,"(260, 220)",#,
Generate,Repair1,たこ,"(200, 240)",#,
Generate,Repair2,きりん,"(120, 200)",#,
Generate,BoxRobot,はこがた,"(350, 260)",#,
Generate,Researcher,がくしゃ,"(280, 240)",#,
Run,#,,,,
Act,お手伝いロボ,Mirror,#,,
Act,お手伝いロボ,Old,#,,
Act,ちび,Hide,#,,
Act,まる,Hide,#,,
Act,のっぽ,Hide,#,,
Act,ちび,Mirror,#,,
Act,まる,Mirror,#,,
Act,のっぽ,Mirror,#,,
Act,ねこぜ,Hide,#,,
Act,くるま,Hide,#,,
Act,たこ,Hide,#,,
Act,きりん,Hide,#,,
Act,はこがた,Hide,#,,
Act,はこがた,Broken,#,,
Act,くるま,Mirror,#,,
Act,たこ,Mirror,#,,
Act,きりん,Mirror,#,,
Act,がくしゃ,Hide,#,,
Run,#,,,,
Text,お手伝いロボ,HelpRobotIcon,0.08,この施設から出る方法が見つからない.\n自由になりたいのに...,#
Move,お手伝いロボ,1,"(30, 0)",TRUE,#
Text,お手伝いロボ,HelpRobotIcon,0.08,1人じゃ無理だ. 仲間が必要だ.,#
Wait,0.5,#,,,
Effect,Dark,#,,,
Wait,2,#,,,
Text,お手伝いロボ,HelpRobotIcon,0.08,僕はたくさんのロボットを作った.,#
Wait,1,#,,,
Background,Entrance,"(0,0)",#,,
Move,お手伝いロボ,0,"(50, 0)",TRUE,#
Act,お手伝いロボ,Mirror,#,,
Act,お手伝いロボ,Now,#,,
Act,ちび,Appear,#,,
Act,まる,Appear,#,,
Act,のっぽ,Appear,#,,
Effect,Dark,#,,,
Wait,1,#,,,
Text,お手伝いロボ,HelpRobotIcon,0.08,"ちび, まる, のっぽ.\nこいつらには, 玄関ゲート以外の出口を\n探すよう頼んだ.",#
Act,ちび,Walk,#,,
Move,ちび,3,"(300,0)",FALSE,#
Wait,1,#,,,
Effect,Dark,#,,,
Wait,2,#,,,
Act,ちび,Hide,#,,
Act,まる,Hide,#,,
Act,のっぽ,Hide,#,,
Move,お手伝いロボ,0,"(300,0)",TRUE,#
Act,お手伝いロボ,Mirror,#,,
Background,Labolatory,"(640,0)",#,,
Act,ねこぜ,Appear,#,,
Effect,Dark,#,,,
Wait,0.5,#,,,
Act,ねこぜ,Sit,#,,
Text,お手伝いロボ,HelpRobotIcon,0.08,ねこぜには玄関ゲートを開けるロボットを\n作ってもらう.,#
Wait,1,#,,,
Effect,Dark,#,,,
Wait,2,#,,,
Camera,0,"(-600,0)",#,,
Act,ねこぜ,Hide,#,,
Act,お手伝いロボ,Mirror,#,,
Move,お手伝いロボ,0,"(-230,0)",TRUE,#
Act,はこがた,Appear,#,,
Act,くるま,Appear,#,,
Act,たこ,Appear,#,,
Act,きりん,Appear,#,,
Effect,Dark,#,,,
Wait,1,#,,,
Text,お手伝いロボ,HelpRobotIcon,0.08,"くるま, たこ, きりん.\n昔壊してしまったロボットの修理を\nお願いした.",#
Wait,0.6,#,,,
Effect,Dark,#,,,
Act,たこ,Mirror,#,,
Act,きりん,Down,#,,
Wait,1,#,,,
Background,Library,"(100,0)",#,,
Act,くるま,Hide,#,,
Act,たこ,Hide,#,,
Act,きりん,Hide,#,,
Act,はこがた,Hide,#,,
Act,がくしゃ,Appear,#,,
Act,がくしゃ,Right,#,,
Move,お手伝いロボ,0,"(-50,0)",TRUE,#
Effect,Dark,#,,,
Wait,1,#,,,
Text,お手伝いロボ,HelpRobotIcon,0.08,がくしゃには...\nココロの研究を...\n僕のココロが完全だと証明してもらうことにした.,#
Act,がくしゃ,Front,#,,
Wait,1,#,,,
Act,がくしゃ,Sleep,#,,
Effect,Dark,#,,,
Act,がくしゃ,Think,#,,
Wait,1,#,,,
Text,お手伝いロボ,HelpRobotIcon,0.08,僕は絶対この施設から脱出する.\n自由になるんだ.,#
Scene,Adventure,#,,,
